# a demo of what a huge town could be 
00,00,00,00,00,00,00,00,00,00,00,01,01,00,00,00,00,00,00,00,00,00,00,00,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,03,03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,03,01,00
00,01,03,03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,03,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,04,11,04,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,04,11,11,11,04,01,01,01,01,01,01,01,01,01,00
01,01,01,01,01,01,01,01,01,01,11,11,11,11,11,01,01,01,01,01,01,01,01,01,01
01,01,01,01,01,01,01,01,01,01,04,11,11,11,04,01,01,01,01,01,01,01,01,01,01
00,01,01,01,01,01,01,01,01,01,01,04,11,04,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,03,03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,03,01,00
00,01,03,03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,03,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,00,00,00,00,00,00,00,00,00,00,01,01,00,00,00,00,00,00,00,00,00,00,00,00
